step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,226,2,0.1437409638844461,0.0,0.0,0.11951415972460504,0.0,0.0,,,,,,
2,452,4,0.12485822075023731,0.0,0.0,,,,,,,,,
3,678,6,0.11263880098528586,0.0,0.0,,,,,,,,,
4,888,8,0.10163970200625605,0.0,0.0,,,,,,,,,
5,1130,10,0.07606203274509123,0.0,0.0,,,,,,,,,
6,1372,12,0.0489228943013101,0.0,0.0,,,,,,,,,
7,1598,14,0.05695309284580292,0.0,0.0,,,,,,,,,
8,1840,16,0.04115870798024359,0.5,0.5,,,,,,,,,
9,2066,18,0.03560152523921455,0.5,0.5,0.03305432682196745,0.5,0.5,,,,,,
10,2308,20,0.0376147243558371,1.0,1.0,,,,,,,,,
11,2534,22,0.04152810837499731,0.5,0.5,,,,,,,,,
12,2776,24,0.03600592306155401,1.0,1.0,,,,,,,,,
13,3002,26,0.03767522260937507,0.0,0.0,,,,,,,,,
14,3228,28,0.035727984171493775,0.5,0.5,,,,,,,,,
15,3470,30,0.03489304819867054,0.0,0.0,,,,,,,,,
16,3712,32,0.0271372005942964,1.0,1.0,,,,,,,,,
17,3938,34,0.030498368192213875,1.0,1.0,0.03241810296410611,1.0,1.0,,,,,,
18,4116,36,0.044034383769837655,0.5,0.5,,,,,,,,,
19,4358,38,0.040266847454093896,0.5,0.5,,,,,,,,,
20,4600,40,0.030465136997508427,0.5,0.5,,,,,,,,,
21,4826,42,0.03721985267591662,0.5,0.5,,,,,,,,,
22,5036,44,0.033166010505461044,0.5,0.5,,,,,,,,,
23,5262,46,0.027864028430677926,1.0,1.0,,,,,,,,,
24,5520,48,0.03276785576630573,0.0,0.0,,,,,,,,,
25,5762,50,0.031510115090352585,0.0,0.0,0.0236934735672415,0.5,0.5,,,,,,
26,5972,52,0.03275704821685884,0.0,0.0,,,,,,,,,
27,6214,54,0.031122074671184236,1.0,1.0,,,,,,,,,
28,6440,56,0.02799691266710787,0.5,0.5,,,,,,,,,
29,6682,58,0.030281531785280095,0.5,0.5,,,,,,,,,
30,6924,60,0.030992184249955854,0.0,0.0,,,,,,,,,
31,7134,62,0.02738699619502558,0.0,0.0,,,,,,,,,
32,7344,64,0.026782956050060765,1.0,1.0,,,,,,,,,
33,7586,66,0.02432816074379177,0.5,0.5,0.030066715306224328,0.5,0.5,,,,,,
34,7828,68,0.03147049317025327,0.5,0.5,,,,,,,,,
35,8054,70,0.02900393344028219,0.5,0.5,,,,,,,,,
36,8280,72,0.0340223557702432,0.0,0.0,,,,,,,,,
37,8506,74,0.02238182601388222,0.5,0.5,,,,,,,,,
38,8732,76,0.023882743580034005,1.0,1.0,,,,,,,,,
39,8958,78,0.02834940672179073,0.0,0.0,,,,,,,,,
40,9184,80,0.02634638024951203,1.0,1.0,,,,,,,,,
41,9410,82,0.031080107507803927,0.0,0.0,0.02350142945923168,0.5,0.5,,,,,,
42,9636,84,0.024312249332894158,1.0,1.0,,,,,,,,,
43,9878,86,0.023351604737769475,1.0,1.0,,,,,,,,,
44,10120,88,0.0220777666241144,1.0,1.0,,,,,,,,,
45,10346,90,0.022253740215310895,1.0,1.0,,,,,,,,,
46,10588,92,0.02722582413524409,0.5,0.5,,,,,,,,,
47,10814,94,0.029156097466056963,0.5,0.5,,,,,,,,,
48,11024,96,0.016496810716860356,1.0,1.0,,,,,,,,,
49,11266,98,0.02563274767199255,0.5,0.5,0.02888187643566718,0.5,0.5,,,,,,
50,11492,100,0.029306582076836618,0.5,0.5,,,,,,,,,
51,11734,102,0.02405560356133295,0.5,0.5,,,,,,,,,
